beacon_timestamp,local_timestamp
422093185,1045
422195592,1148
422297991,1261
422400409,1353
422502792,1461
422605190,1571
422707588,1660
422809989,1771
422913630,1881
423014792,1967
423117192,2081
423219585,2172
423321984,2282
423424391,2392
423526792,2479
423833986,2792
424038792,2992
424141191,3094
422093185,1045
422195592,1148
422297991,1261
422400409,1353
422502792,1461
422605190,1571
422707588,1660
422809989,1771
422913630,1881
423014792,1967
423117192,2081
423219585,2172
423321984,2282
423424391,2392
423526792,2479
423833986,2792
424038792,2992
424141191,3094
424280345,3242
424282901,3271
424285483,3300
424288404,3329
424345986,3358
424448418,3401
424550917,3512
424857991,3822
424960392,3913
425062848,4022
425115202,4068
425117803,4097
425137093,4126
425267588,4220
425369987,4332
425472391,4425
425574785,4532
425677192,4642
425766890,4720
425769437,4749
425772121,4778
425846701,4807
425849248,4836
425851795,4865
425984385,4942
426086790,5052
426090277,5081
426110498,5110
426113452,5139
426116026,5168
426118622,5197
426123038,5226
426125639,5256
426128195,5285
426294137,5314
426296270,5343
426362501,5372
426365075,5401
426379324,5430
426598790,5552
426803585,5756
426905992,5872
427008386,5961
427110784,6072
427213184,6182
427315588,6268
427417987,6382
427622791,6576
427725188,6678
427827587,6792
427929989,6882
428134792,7087
428441990,7402
428544386,7512
428749190,7702
428851587,7812
429056385,8009
429158790,8112
429261189,82
424550917,3512
424857991,3822
424960392,3913
425062848,4022
425115202,4068
425117803,4097
425137093,4126
425267588,4220
425369987,4332
425472391,4425
425574785,4532
425677192,4642
425766890,4720
425769437,4749
425772121,4778
425846701,4807
425849248,4836
425851795,4865
425984385,4942
426086790,5052
426090277,5081
426110498,5110
426113452,5139
426116026,5168
426118622,5197
426123038,5226
426125639,5256
426128195,5285
426294137,5314
426296270,5343
426362501,5372
426365075,5401
426379324,5430
426598790,5552
426803585,5756
426905992,5872
427008386,5961
427110784,6072
427213184,6182
427315588,6268
427417987,6382
427622791,6576
427725188,6678
427827587,6792
427929989,6882
428134792,7087
428441990,7402
428544386,7512
428749190,7702
428851587,7812
429056385,8009
429158790,8112
429261189,8222
429363749,8332
429465987,8419
429568390,8532
429670810,8623
429773192,8732
430182785,9136
437043585,16012
437145989,16099
437350784,16304
437453190,16422
437555587,16509
437657987,16622
437862784,16816
438170385,17124
438272394,17232
438374791,17342
438579585,17533
438681986,17635
438699733,17664
438702325,17694
438704966,17723
438707706,17752
438710289,17781
438712854,17810
438784389,17839
438886787,17868
438989190,17942
439091586,18052
439193988,18162
439296384,18250
439501185,18455
439603591,18572
439910788,18864
440115588,19069
447078787,26033
447181190,26135
447283590,26252
447385992,26340
447488387,26452
447590805,26545
447693191,26652
447795585,26762
427315588,6268
427417987,6382
427622791,6576
427725188,6678
427827587,6792
427929989,6882
428134792,7087
428441990,7402
428544386,7512
428749190,7702
428851587,7812
429056385,8009
429158790,8112
429261189,8222
429363749,8332
429465987,8419
429568390,8532
429670810,8623
429773192,8732
430182785,9136
437043585,16012
437145989,16099
437350784,16304
437453190,16422
437555587,16509
437657987,16622
437862784,16816
438170385,17124
438272394,17232
438374791,17342
438579585,17533
438681986,17635
438699733,17664
438702325,17694
438704966,17723
438707706,17752
438710289,17781
438712854,17810
438784389,17839
438886787,17868
438989190,17942
439091586,18052
439193988,18162
439296384,18250
439501185,18455
439603591,18572
439910788,18864
440115588,19069
447078787,26033
447181190,26135
447283590,26252
447385992,26340
447488387,26452
447590805,26545
447693191,26652
447795585,26762
447897991,26852
448000391,26962
448102791,27072
448205186,27159
448307592,27272
448410485,27365
448420791,27394
448423435,27423
448491093,27452
448493667,27481
448496241,27510
448512388,27539
448570384,27569
448573577,27598
448576824,27627
448580163,27656
448583374,27685
448585975,27714
448614788,27743
448819588,27774
448921990,27892
449024393,27978
449126790,28092
449331591,28285
449433984,28388
449536389,28503
449638789,28593
449741188,28703
449843591,28813
449945987,28900
450048390,29013
456909190,35864
457011592,35966
457113992,36083
457216386,36171
457318786,36283
438707706,17752
438710289,17781
438712854,17810
438784389,17839
438886787,17868
438989190,17942
439091586,18052
439193988,18162
439296384,18250
439501185,18455
439603591,18572
439910788,18864
440115588,19069
447078787,26033
447181190,26135
447283590,26252
447385992,26340
447488387,26452
447590805,26545
447693191,26652
447795585,26762
447897991,26852
448000391,26962
448102791,27072
448205186,27159
448307592,27272
448410485,27365
448420791,27394
448423435,27423
448491093,27452
448493667,27481
448496241,27510
448512388,27539
448570384,27569
448573577,27598
448576824,27627
448580163,27656
448583374,27685
448585975,27714
448614788,27743
448819588,27774
448921990,27892
449024393,27978
449126790,28092
449331591,28285
449433984,28388
449536389,28503
449638789,28593
449741188,28703
449843591,28813
449945987,28900
450048390,29013
456909190,35864
457011592,35966
457113992,36083
457216386,36171
457318786,36283
457421190,36376
457523588,36483
457625986,36593
457728391,36683
457830784,36793
457933190,36903
458035588,36990
458137992,37103
458240387,37195
458342788,37303
458445188,37413
458547593,37502
458649986,37613
458752389,37723
458854786,37809
458957188,37923
459059588,38014
459161989,38123
459264391,38233
459366791,38321
459469189,38433
459571590,38543
459673988,38629
459776392,38743
459878786,38834
459981186,38943
460083593,39053
466944384,45903
467046791,46013
467149188,46104
467253402,46213
467353986,46323
467456392,46412
467558785,46523
448496241,27510
448512388,27539
448570384,27569
448573577,27598
448576824,27627
448580163,27656
448583374,27685
448585975,27714
448614788,27743
448819588,27774
448921990,27892
449024393,27978
449126790,28092
449331591,28285
449433984,28388
449536389,28503
449638789,28593
449741188,28703
449843591,28813
449945987,28900
450048390,29013
456909190,35864
457011592,35966
457113992,36083
457216386,36171
457318786,36283
457421190,36376
457523588,36483
457625986,36593
457728391,36683
457830784,36793
457933190,36903
458035588,36990
458137992,37103
458240387,37195
458342788,37303
458445188,37413
458547593,37502
458649986,37613
458752389,37723
458854786,37809
458957188,37923
459059588,38014
459161989,38123
459264391,38233
459366791,38321
459469189,38433
459571590,38543
459673988,38629
459776392,38743
459878786,38834
459981186,38943
460083593,39053
466944384,45903
467046791,46013
467149188,46104
467253402,46213
467353986,46323
467456392,46412
467558785,46523
467560935,46552
467563536,46581
467568985,46610
467571523,46640
467763589,46723
467968387,46924
468070787,47026
468275584,47231
468377988,47343
468480391,47436
468582789,47543
468685185,47653
468787590,47743
468889985,47853
468992385,47963
469094791,48050
469299592,48255
469504387,48460
469913989,48870
470016389,48972
476877186,55833
476979591,55936
477081987,56044
477184385,56154
477286787,56243
477389187,56354
477593992,56550
477696388,56652
477798790,56764
477901192,56874
478003589,56960
459673988,38629
459776392,38743
459878786,38834
459981186,38943
460083593,39053
466944384,45903
467046791,46013
467149188,46104
467253402,46213
467353986,46323
467456392,46412
467558785,46523
467560935,46552
467563536,46581
467568985,46610
467571523,46640
467763589,46723
467968387,46924
468070787,47026
468275584,47231
468377988,47343
468480391,47436
468582789,47543
468685185,47653
468787590,47743
468889985,47853
468992385,47963
469094791,48050
469299592,48255
469504387,48460
469913989,48870
470016389,48972
476877186,55833
476979591,55936
477081987,56044
477184385,56154
477286787,56243
477389187,56354
477593992,56550
477696388,56652
477798790,56764
477901192,56874
478003589,56960
478105985,57074
478208386,57164
478310792,57274
478515587,57471
478617986,57574
478659327,57616
478662564,57645
478667600,57674
478670998,57703
478673916,57732
478679055,57761
478720386,57790
478807750,57819
478810324,57849
478812916,57878
478822790,57907
478925189,57936
479027585,57984
479129992,58086
479334787,58291
479437184,58404
479539586,58496
479744386,58700
479846787,58814
479949190,58905
480051591,59014
486912390,65869
487014791,65984
487117190,66074
487219584,66184
487321990,66294
487424391,66381
487526789,66494
487629184,66586
487731593,66694
487833989,66804
487936386,66893
488038790,67004
488141184,67114
488243588,67200
488345990,67314
488448386,67405
488506452,67474
488527999,67503
488550807,67532
488590198,67562
488653186,67610
488755586,67714
