beacon_timestamp,local_timestamp
1871257992,1107
1871360388,1220
1871462788,1311
1871565187,1420
1871667589,1517
1871769989,1620
1871872389,1721
1871974785,1826
1872077188,1940
1872179588,2029
1872282239,2140
1872384391,2233
1872486792,2340
1872589186,2438
1872691591,2541
1872794720,2644
1872902200,2751
1872998792,2860
1873101191,2950
1873203584,3060
1873305985,3155
1873408392,3260
1873510787,3360
1873613185,346
1871257992,1107
1871360388,1220
1871462788,1311
1871565187,1420
1871667589,1517
1871769989,1620
1871872389,1721
1871974785,1826
1872077188,1940
1872179588,2029
1872282239,2140
1872384391,2233
1872486792,2340
1872589186,2438
1872691591,2541
1872794720,2644
1872902200,2751
1872998792,2860
1873101191,2950
1873203584,3060
1873305985,3155
1873408392,3260
1873510787,3360
1873613185,3463
1873715584,3580
1873817989,3667
1873920384,3780
1874022793,3872
1874125192,3980
1874227588,4077
1874330302,4180
1874432386,4281
1874534787,4384
1874637190,4500
1874739585,4589
1874753955,4620
1874756520,4620
1874759112,4621
1874805600,4660
1874808165,4660
1874811077,4661
1874831322,4681
1874836452,4700
1874839098,4700
1874841985,4701
1874844118,4702
1874846665,4703
1874899385,4749
1874902204,4752
1874905140,4755
1874907804,4757
1874910351,4760
1874912952,4763
1874944385,4793
1875046785,4900
1875149187,4999
1875251590,5101
1875353986,5203
1875456392,5306
1875558792,5420
1875661188,5510
1875763592,5620
1875865992,5715
1875968391,5820
1876070786,5920
1876173191,6022
1876275584,6140
1876377991,6227
1876480390,6340
1876582789,6432
1876685187,6540
1876787586,6637
1876889992,6740
1876992384,6842
1877094792,6944
1877197185,7060
1877299585,7149
1877401987,7260
1877504387,7354
1877606789,7460
1877709184,7558
1877811589,7661
1877913986,7763
