beacon_ts,hw_timestamp,local_ts
1665634696,45684623,46329
1665737090,45787018,46416
1665839490,45889420,46534
1665941895,45991826,46636
1666044296,46094229,46736
1666146690,46196624,46841
1666249096,46299032,46936
1666351496,46401433,47045
1666453891,46503829,47136
1666556293,46606233,47250
1666658697,46708638,47353
1666761091,46811034,47456
1666863490,46913435,47557
1666965889,47015836,47656
1667068292,47118240,47763
1667170696,47220645,47856
1667273089,47323040,47967
1667375495,47425448,48056
1667477895,47527849,48172
1667580290,47630245,48275
1667682693,47732650,48376
1667785096,47835055,48479
1667887491,47937451,48576
1667989890,48039852,48684
1668092296,48142259,48776
1668194695,48244660,48889
1668297094,48347060,48976
1668399491,48449459,49094
1668501892,48551862,49196
1668604289,48654260,49296
1668706695,48756668,49401
1668809092,48859066,49496
1668911495,48961471,49606
1670037892,50087884,50732
1670140288,50190282,50835
1670242692,50292687,50937
1670345090,50395087,51040
1670447497,50497495,51137
1670549892,50599892,51244
1670652294,50702296,51337
1670754689,50804692,51449
1670857096,50907101,51537
1670959488,51009494,51654
1671061891,51111898,51756
1671164290,51214299,51857
1671266688,51316699,51961
1671369091,51419104,52057
1671471493,51521507,52166
1671573896,51623911,52257
1671676291,51726308,52371
1671778692,51828711,52474
1671881088,51931108,52576
1671983490,52033511,52678
1672085894,52135917,52777
1672188288,52238313,52883
1672290689,52340715,52977
1672393088,52443115,53088
1672495491,52545520,53177
1672597890,52647920,53292
1672700289,52750321,53395
1672802692,52852726,53497
1672905095,52955131,53600
1673007513,53057549,53697
1673109894,53159933,53804
1673212293,53262333,53897
1673314692,53364734,54009
1673417094,53467137,54097
1673519490,53569534,54214
1673621889,53671935,54316
1673724292,53774340,54407
1673826695,53876744,54522
1673929091,53979141,54624
1674031494,54081546,54726
1674133893,54183947,54828
1674236291,54286346,54927
1674338690,54388747,55034
1674441093,54491151,55127
1674543496,54593555,55238
1674645891,54695953,55327
1674748291,54798354,55443
1674850694,54900758,55546
1674953088,55003154,55647
1675055488,55105556,55750
1675157893,55207962,55847
1675260295,55310365,55955
