Sample, accel, ADC_0, ADC_1, ADC_2, Interval,,time, acceleration
70,1138.639,740.3508,593.0434,629.8245,5.1907,,365.4123,1138.639
71,1137.4158,737.7192,593.0434,630.7017,5.1784,,370.5907,1137.4158
72,1134.6098,733.3333,592.1738,631.5789,5.1799,,375.7706,1134.6098
73,1132.5174,732.4561,593.913,627.1929,5.1804,,380.951,1132.5174
74,1138.2749,736.8421,593.913,632.4561,5.194,,386.145,1138.2749
75,1138.8923,738.5964,594.7825,630.7017,5.1957,,391.3407,1138.8923
76,1136.6278,738.5964,590.4347,630.7017,5.1832,,396.5239,1136.6278
77,1138.3918,742.1052,591.3043,628.9473,5.1839,,401.7078,1138.3918
78,1140.6008,741.228,594.7825,630.7017,5.1798,,406.8876,1140.6008
79,1141.5086,741.228,596.5217,630.7017,5.1929,,412.0805,1141.5086
80,1138.6655,736.8421,596.5217,630.7017,5.1919,,417.2724,1138.6655
81,1136.953,738.5964,594.7825,627.1929,5.1946,,422.467,1136.953
82,1136.0579,737.7192,590.4347,630.7017,5.1821,,427.6491,1136.0579
83,1138.6965,736.8421,595.6521,631.5789,5.1799,,432.829,1138.6965
84,1136.867,740.3508,588.6956,630.7017,5.1963,,438.0253,1136.867
85,1135.7604,735.9649,593.913,628.9473,5.1956,,443.2209,1135.7604
86,1142.0251,741.228,595.6521,632.4561,5.1984,,448.4193,1142.0251
87,1138.9458,739.4736,595.6521,628.9473,5.1772,,453.5965,1138.9458
88,1135.5185,733.3333,593.913,631.5789,5.1859,,458.7824,1135.5185
89,1135.6784,735.0877,593.913,629.8245,5.1848,,463.9672,1135.6784
90,1141.1007,736.8421,596.5217,635.0877,5.1935,,469.1607,1141.1007
91,1139.6889,737.7192,597.3912,630.7017,5.1881,,474.3488,1139.6889
92,1141.8494,740.3508,598.2608,630.7017,5.1843,,479.5331,1141.8494
93,1138.4736,735.0877,597.3912,631.5789,5.1832,,484.7163,1138.4736
94,1136.2696,736.8421,595.6521,627.1929,5.1778,,489.8941,1136.2696
95,1136.2696,736.8421,595.6521,627.1929,5.1924,,495.0865,1136.2696
96,1136.8148,736.8421,593.913,629.8245,5.1924,,500.2789,1136.8148
97,1134.81,731.5789,595.6521,630.7017,5.199,,505.4779,1134.81
98,1139.0316,740.3508,595.6521,628.0701,5.1848,,510.6627,1139.0316
99,1136.3937,736.8421,592.1738,630.7017,5.174,,515.8367,1136.3937
100,1138.616,735.9649,595.6521,632.4561,5.1913,,521.028,1138.616
101,1136.702,740.3508,593.0434,626.3157,5.2959,,526.3239,1136.702
102,1136.6708,735.9649,595.6521,628.9473,5.2675,,531.5914,1136.6708
103,1137.1268,735.9649,596.5217,628.9473,5.2765,,536.8679,1137.1268
104,1138.3764,738.5964,595.6521,628.9473,5.283,,542.1509,1138.3764
105,1138.4384,738.5964,593.913,630.7017,5.2852,,547.4361,1138.4384
106,1137.1875,735.9649,594.7825,630.7017,5.2738,,552.7099,1137.1875
107,1137.1268,735.9649,596.5217,628.9473,5.2733,,557.9832,1137.1268
108,1138.4384,738.5964,593.913,630.7017,5.283,,563.2662,1138.4384
109,1136.6708,735.9649,595.6521,628.9473,5.2852,,568.5514,1136.6708
110,1137.0753,735.0877,595.6521,630.7017,5.2766,,573.828,1137.0753
111,1138.0981,735.9649,596.5217,630.7017,5.2781,,579.1061,1138.0981
112,1135.992,734.2105,596.5217,628.9473,5.282,,584.3881,1135.992
113,1139.4305,739.4736,595.6521,629.8245,5.2743,,589.6624,1139.4305
114,1138.4333,739.4736,596.5217,627.1929,5.2749,,594.9373,1138.4333
