Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
1,528.0701,604.3478,591.2280,7.9982,996.8175
2,526.3157,604.3478,591.2280,12.5777,995.8892
3,525.4385,603.4782,592.9824,17.2390,995.9417
4,528.9473,604.3478,592.9824,21.9166,998.3235
5,526.3157,602.6087,592.9824,26.5947,995.8784
6,525.4385,603.4782,595.6140,31.2625,997.5108
7,524.5614,603.4782,593.8596,35.9389,996.0019
8,529.8245,600.8695,592.9824,40.6095,996.6878
9,528.0701,604.3478,592.1052,45.2789,997.3380
10,523.6842,604.3478,592.9824,49.9456,995.5449
11,525.4385,601.7391,592.9824,54.7149,994.8889
12,525.4385,604.3478,593.8596,59.4733,996.9910
13,524.5614,603.4782,595.6140,64.2297,997.0490
14,522.8070,602.6087,586.8421,68.9917,990.3777
15,524.5614,608.6956,588.5964,73.7626,996.0526
16,524.5614,604.3478,590.3508,78.5131,994.4421
17,524.5614,606.0869,588.5964,83.2680,994.4606
18,522.8070,602.6087,591.2280,88.0291,992.9829
19,524.5614,604.3478,588.5964,92.7927,993.4016
20,520.1754,606.9565,588.5964,97.5476,992.6855
21,520.1754,603.4782,588.5964,102.3163,990.5626
22,521.9298,606.9565,587.7192,107.1616,993.0865
23,521.0526,604.3478,586.8421,112.0176,990.5128
24,520.1754,603.4782,590.3508,116.8646,991.6060
25,518.4210,600.0000,589.4736,121.7221,988.0484
26,522.8070,602.6087,592.9824,126.5453,994.0285
27,521.9298,605.2174,586.8421,131.3898,991.5051
28,521.0526,602.6087,593.8596,136.2366,993.6308
29,518.4210,606.9565,592.1052,141.0906,993.8537
30,519.2982,603.4782,588.5964,145.9440,990.1022
31,521.0526,606.9565,595.6140,150.8005,997.3204
32,521.9298,604.3478,594.7368,155.6447,995.6701
33,522.8070,604.3478,592.9824,160.4932,995.0837
34,521.9298,606.9565,594.7368,165.3382,997.2556
35,521.0526,602.6087,592.9824,170.1885,993.1068
36,524.5614,604.3478,592.1052,175.0392,995.4846
37,522.8070,608.6956,592.9824,179.8898,997.7303
38,525.4385,606.0869,585.9649,184.7507,993.3690
39,524.5614,603.4782,588.5964,189.5938,992.8728
40,525.4385,608.6956,588.5964,194.4418,996.5148
41,522.8070,606.9565,591.2280,199.2886,995.6275
42,525.4385,604.3478,594.7368,204.1479,997.5138
43,526.3157,600.8695,592.9824,209.0045,994.8270
44,524.5614,608.6956,594.7368,213.8595,999.6934
45,529.8245,606.0869,595.6140,218.7199,1001.4047
46,529.8245,604.3478,595.6140,223.6531,1000.3531
47,528.9473,604.3478,599.1228,228.5890,1001.9829
48,525.4385,604.3478,595.6140,233.5247,998.0371
49,527.1929,618.2608,594.7368,238.3658,1006.9214
50,528.9473,604.3478,594.7368,243.3118,999.3665
51,531.5789,605.2174,595.6140,248.1591,1001.8085
52,531.5789,608.6956,595.6140,253.1074,1003.9136
53,532.4561,602.6087,598.2456,258.0552,1002.2697
54,530.7017,604.3478,593.8596,262.9997,999.7749
55,534.2105,608.6956,597.3684,267.8609,1006.3499
56,532.4561,602.6087,595.6140,272.8101,1000.7011
57,535.0877,607.8261,595.6140,277.7513,1005.2499
58,536.8421,600.8695,597.3684,282.6877,1003.0417
59,535.0877,602.6087,595.6140,287.6230,1002.1038
60,533.3333,604.3478,595.6140,292.5561,1002.2159
61,534.2105,607.8261,595.6140,297.4925,1004.7833
62,534.2105,604.3478,593.8596,302.4310,1001.6418
63,539.4736,604.3478,594.7368,307.3658,1004.9776
64,530.7017,607.8261,592.9824,312.3147,1001.3616
65,537.7192,606.0869,597.3684,317.2537,1006.6441
66,536.8421,605.2174,593.8596,322.1979,1003.5720
67,534.2105,603.4782,597.3684,327.1472,1003.2028
