








Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
114,575.4385,627.8261,635.0877,564.5010,1062.3707
115,576.3157,632.1738,638.5964,569.5269,1067.5153
116,572.8070,631.3043,635.9649,574.5516,1063.5339
117,570.1754,633.0434,635.0877,579.5825,1062.6290
118,571.0526,630.4347,635.0877,584.6013,1061.5485
119,569.2982,635.6521,635.9649,589.6229,1064.2393
120,570.1754,633.9130,636.8421,594.6515,1064.1961
121,571.0526,636.5217,635.0877,599.6809,1065.1748
122,568.4210,631.3043,635.9649,604.7000,1061.1781
123,569.2982,630.4347,637.7192,609.7288,1062.1837
124,564.9122,636.5217,634.2105,614.7567,1061.3712
125,572.8070,633.0434,636.8421,619.7848,1065.0914
126,571.0526,629.5652,638.5964,624.8074,1063.1363
127,571.0526,634.7825,638.5964,629.8295,1066.2342
128,572.8070,628.6956,637.7192,634.8550,1063.0390
129,571.0526,629.5652,638.5964,639.8933,1063.1363
130,571.9298,627.8261,637.7192,644.9274,1062.0523
131,575.4385,625.2174,637.7192,649.9685,1062.4086
132,575.4385,626.9565,638.5964,655.0106,1063.9593
133,578.9473,627.8261,633.3333,660.0474,1063.2293
134,576.3157,626.0869,633.3333,665.0847,1060.7713
135,571.9298,627.8261,633.3333,670.1160,1059.4245
136,571.0526,630.4347,633.3333,675.1567,1060.5000
137,577.1929,626.9565,635.0877,680.1917,1062.8088
138,576.3157,629.5652,628.9473,685.2274,1060.2203
139,578.9473,629.5652,629.8245,690.2647,1062.1729
140,575.4385,626.9565,626.3157,695.3031,1056.6340
141,575.4385,628.6956,621.0526,700.3557,1054.5587
142,578.0701,629.5652,623.6842,705.3793,1058.0640
143,572.8070,626.9565,624.5614,710.3987,1054.1628
144,572.8070,630.4347,622.8070,715.4274,1055.1987
145,572.8070,629.5652,618.4210,720.4565,1052.0954
146,570.1754,627.8261,616.6666,725.4824,1048.5911
147,572.8070,626.9565,616.6666,730.5121,1049.5047
148,569.2982,629.5652,615.7894,735.5451,1048.6417
149,569.2982,626.0869,613.1578,740.5737,1045.0109
150,565.7894,633.0434,608.7719,745.5889,1044.7320
151,568.4210,633.9130,610.5263,750.6141,1047.7072
152,566.6666,633.9130,612.2807,755.6444,1047.7807
153,567.5438,636.5217,608.7719,760.6762,1047.7926
154,572.8070,632.1738,607.8947,765.7054,1047.5150
155,569.2982,635.6521,607.0175,770.7346,1047.1983
156,571.9298,632.1738,604.3859,775.7566,1045.0023
157,568.4210,633.0434,602.6315,780.7773,1042.5983
158,571.0526,634.7825,607.8947,785.8024,1048.1345
159,571.9298,630.4347,600.0000,790.8272,1041.4180
160,575.4385,625.2174,600.8771,795.8401,1040.7111
161,574.5614,626.0869,595.6140,800.8835,1037.7194
162,576.3157,629.5652,595.6140,805.9207,1040.7921
163,576.3157,623.4782,598.2456,810.9617,1038.6351
164,579.8245,626.0869,593.8596,816.0039,1039.6396
165,576.3157,630.4347,591.2280,821.0342,1038.8159
166,579.8245,626.0869,589.4736,826.0693,1037.1406
167,574.5614,627.8261,581.5789,831.1006,1030.7863
168,574.5614,625.2174,585.0877,836.1422,1031.1862
