beacon_timestamp,local_timestamp
289280392,1387
289382788,1490
289485187,1608
289587589,1695
289689990,1808
289792384,1900
289894792,2008
289997189,2105
290099592,2208
298598787,10707
298701191,10809
298803586,10928
298905988,11014
299008384,11128
299110792,11219
299213187,11328
299315590,11424
299417984,11528
299520384,11628
299622792,11731
299725192,11848
299827591,11936
299929990,12048
300032392,12142
307200391,19318
307302785,19411
307405188,19518
307507591,19616
307609985,19718
307712388,19821
307814791,19923
289280392,1387
289382788,1490
289485187,1608
289587589,1695
289689990,1808
289792384,1900
289894792,2008
289997189,2105
290099592,2208
298598787,10707
298701191,10809
298803586,10928
298905988,11014
299008384,11128
299110792,11219
299213187,11328
299315590,11424
299417984,11528
299520384,11628
299622792,11731
299725192,11848
299827591,11936
299929990,12048
300032392,12142
307200391,19318
307302785,19411
307405188,19518
307507591,19616
307609985,19718
307712388,19821
307814791,19923
307917196,20038
308019588,20128
308121988,20238
308224386,20333
308326788,20438
308429191,20538
308531592,20640
308633985,20758
308736385,20845
308838789,20958
308941188,21050
309043587,21158
309145989,21254
309248519,21358
309350787,21460
309453187,21562
309555584,21664
309657989,21767
309760384,21878
309862787,21971
309965187,22078
310067590,22176
317235592,29359
317337986,29448
317440392,29559
317542789,29652
317645191,29759
317747593,29857
317849987,29959
317952390,30062
318054785,30164
318157189,30279
318259587,30369
318361984,30479
318464392,30574
318566791,30679
318669190,30778
298803586,10928
298905988,11014
299008384,11128
299110792,11219
299213187,11328
299315590,11424
299417984,11528
299520384,11628
299622792,11731
299725192,11848
299827591,11936
299929990,12048
300032392,12142
307200391,19318
307302785,19411
307405188,19518
307507591,19616
307609985,19718
307712388,19821
307814791,19923
307917196,20038
308019588,20128
308121988,20238
308224386,20333
308326788,20438
308429191,20538
308531592,20640
308633985,20758
308736385,20845
308838789,20958
308941188,21050
309043587,21158
309145989,21254
309248519,21358
309350787,21460
309453187,21562
309555584,21664
309657989,21767
309760384,21878
309862787,21971
309965187,22078
310067590,22176
317235592,29359
317337986,29448
317440392,29559
317542789,29652
317645191,29759
317747593,29857
317849987,29959
317952390,30062
318054785,30164
318157189,30279
318259587,30369
318361984,30479
318464392,30574
318566791,30679
318669190,30778
318771592,30881
318873989,30999
318976388,31085
319078790,31199
319181192,31291
319283589,31399
319385987,31495
319488390,31599
319590785,31700
319693184,31803
319795588,31919
319897991,32007
320000390,32119
327168390,39278
327270791,39389
327373186,39483
327475591,39589
327577985,39688
327680388,39790
327782791,39909
327885186,39995
327987588,40109
328089989,40200
328192385,40309
328294787,40405
328397191,40509
328499587,40609
328601989,40712
328704391,40829
328806790,40917
328909184,41029
329011585,41121
329113999,41229
329216387,41326
308838789,20958
308941188,21050
309043587,21158
309145989,21254
309248519,21358
309350787,21460
309453187,21562
309555584,21664
309657989,21767
309760384,21878
309862787,21971
309965187,22078
310067590,22176
317235592,29359
317337986,29448
317440392,29559
317542789,29652
317645191,29759
317747593,29857
317849987,29959
317952390,30062
318054785,30164
318157189,30279
318259587,30369
318361984,30479
318464392,30574
318566791,30679
318669190,30778
318771592,30881
318873989,30999
318976388,31085
319078790,31199
319181192,31291
319283589,31399
319385987,31495
319488390,31599
319590785,31700
319693184,31803
319795588,31919
319897991,32007
320000390,32119
327168390,39278
327270791,39389
327373186,39483
327475591,39589
327577985,39688
327680388,39790
327782791,39909
327885186,39995
327987588,40109
328089989,40200
328192385,40309
328294787,40405
328397191,40509
328499587,40609
328601989,40712
328704391,40829
328806790,40917
328909184,41029
329011585,41121
329113999,41229
329216387,41326
329318788,41429
329421186,41531
329523590,41633
329625990,41749
329728385,41838
329830787,41949
329933190,42043
330035592,42149
337203585,49319
337305990,49417
337408388,49519
337510903,49621
337613191,49724
337715585,49839
337817985,49928
337920386,50039
338022787,50133
338125191,50239
338227585,50338
338329992,50440
338432392,50559
338534789,50646
338637191,50759
338739590,50850
338841988,50959
338944387,51055
339046785,51159
339149190,51260
339251585,51362
318873989,30999
318976388,31085
319078790,31199
319181192,31291
319283589,31399
319385987,31495
319488390,31599
319590785,31700
319693184,31803
319795588,31919
319897991,32007
320000390,32119
327168390,39278
327270791,39389
327373186,39483
327475591,39589
327577985,39688
327680388,39790
327782791,39909
327885186,39995
327987588,40109
328089989,40200
328192385,40309
328294787,40405
328397191,40509
328499587,40609
328601989,40712
328704391,40829
328806790,40917
328909184,41029
329011585,41121
329113999,41229
329216387,41326
329318788,41429
329421186,41531
329523590,41633
329625990,41749
329728385,41838
329830787,41949
329933190,42043
330035592,42149
337203585,49319
337305990,49417
337408388,49519
337510903,49621
337613191,49724
337715585,49839
337817985,49928
337920386,50039
338022787,50133
338125191,50239
338227585,50338
338329992,50440
338432392,50559
338534789,50646
338637191,50759
338739590,50850
338841988,50959
338944387,51055
339046785,51159
339149190,51260
339251585,51362
339353988,51479
339456390,51567
339558792,51679
339661187,51772
339763590,51879
339865984,51977
339968388,52079
340070784,52181
347136387,59248
347238793,59360
347341188,59452
347443586,59560
347545990,59657
347648390,59760
347750792,59862
347853189,59964
347955591,60080
348057991,60169
348160385,60280
348262788,60374
348365191,60480
348467588,60579
348569990,60681
348672384,60800
348774791,60886
348877188,61000
348979588,61091
349081986,61200
349184387,61296
