beacon_timestamp,local_timestamp
212679088,1052
212883888,2330
212986288,2331
213191108,2331
213295709,2332
213498288,2333
213805488,2333
214112806,2468
214419889,2775
214522456,2892
214627452,2983
214727088,3092
214829952,3186
215034288,3390
215239103,3612
215341488,3697
215546288,3902
215648688,4012
215853488,4212
215955935,4312
216160688,4532
216467975,4824
216572371,4932
216775088,5132
216877488,5233
216982455,5338
217082288,5452
217184951,5541
217289949,5652
217389488,5745
217594288,5950
217696688,6052
217901488,62
