beacon_timestamp,local_timestamp,load_cell_reading
842344649,1171,0.877193
842754140,1581,0.877193
842855913,1671,4.385965
842957183,1772,2.631579
843059674,1874,3.508772
843163003,1981,3.508772
843265344,2080,1.754386
843675838,2491,0.000000
843776338,2601,0.877193
844290438,3106,2.631579
844392891,3221,1.754386
844697930,3513,0.877193
844902730,3721,1.754386
845211848,4027,4.385965
845399122,4221,0.877193
845401979,4229,21.052631
845408073,4236,0.000000
845410662,4243,1.754386
845413240,4250,14.035088
845416328,4258,3.508772
845517131,4332,2.631579
845621449,4451,0.000000
846131530,4947,0.000000
846235065,5061,2.631579
846338249,5153,4.385965
846543038,5361,2.631579
846745931,5571,2.631579
846850550,5666,0.877193
846950731,5766,2.631579
847053357,5881,2.631579
848486739,7302,1.754386
849101139,7917,0.877193
849408330,8232,1.754386
850434239,9250,3.508772
842344649,1171,0.877193
842754140,1581,0.877193
842855913,1671,4.385965
842957183,1772,2.631579
843059674,1874,3.508772
843163003,1981,3.508772
843265344,2080,1.754386
843675838,2491,0.000000
843776338,2601,0.877193
844290438,3106,2.631579
844392891,3221,1.754386
844697930,3513,0.877193
844902730,3721,1.754386
845211848,4027,4.385965
845399122,4221,0.877193
845401979,4229,21.052631
845408073,4236,0.000000
845410662,4243,1.754386
845413240,4250,14.035088
845416328,4258,3.508772
845517131,4332,2.631579
845621449,4451,0.000000
846131530,4947,0.000000
846235065,5061,2.631579
846338249,5153,4.385965
846543038,5361,2.631579
846745931,5571,2.631579
846850550,5666,0.877193
846950731,5766,2.631579
847053357,5881,2.631579
848486739,7302,1.754386
849101139,7917,0.877193
849408330,8232,1.754386
850434239,9250,3.508772
861491531,20308,1.754386
843163003,1981,3.508772
843265344,2080,1.754386
843675838,2491,0.000000
843776338,2601,0.877193
844290438,3106,2.631579
844392891,3221,1.754386
844697930,3513,0.877193
844902730,3721,1.754386
845211848,4027,4.385965
845399122,4221,0.877193
845401979,4229,21.052631
845408073,4236,0.000000
845410662,4243,1.754386
845413240,4250,14.035088
845416328,4258,3.508772
845517131,4332,2.631579
845621449,4451,0.000000
846131530,4947,0.000000
846235065,5061,2.631579
846338249,5153,4.385965
846543038,5361,2.631579
846745931,5571,2.631579
846850550,5666,0.877193
846950731,5766,2.631579
847053357,5881,2.631579
848486739,7302,1.754386
849101139,7917,0.877193
849408330,8232,1.754386
850434239,9250,3.508772
861491531,20308,1.754386
868249931,27067,5.263158
868352338,27172,2.631579
868454732,27272,3.508772
868557139,27374,0.877193
868659531,27482,2.631579
868720241,27538,3.508772
868761938,27582,3.508772
868864331,27681,3.508772
868966738,27784,1.754386
869069130,27892,2.631579
869171539,27988,2.631579
869274965,28092,3.508772
869376340,28202,3.508772
869478730,28296,1.754386
869581139,28398,1.754386
869685075,28512,1.754386
869786343,28603,0.000000
869888331,28706,1.754386
869990741,28822,5.263158
870093130,28912,2.631579
868659531,27482,2.631579
868720241,27538,3.508772
868761938,27582,3.508772
