beacon_timestamp,local_timestamp
500347461,16247
500449861,16334
500552261,16447
500654661,16539
500757061,16647
500859461,16744
500961861,16847
501064261,16949
501166661,17051
501269061,17167
501371461,17256
501473861,17368
501576261,17461
501678661,17568
501781061,17665
501883461,17768
501985861,17870
502088261,17972
502190661,18088
502293061,18177
502395461,18288
502497861,18382
502600261,18488
502702661,18587
502712392,18608
502715592,18612
502719773,18617
502723325,18622
502805061,18690
502907461,18792
503009861,18908
503112261,18997
503214661,19108
503317061,19202
503419461,19308
503521861,19406
503624261,19509
503726661,19628
503829061,19713
503931461,19828
504033861,19918
504136261,20028
504238661,20123
504341061,20228
504443461,20328
504545861,20431
504648261,20548
504750661,20635
504853061,20748
504955461,20840
505057861,20948
505160261,21045
505262661,21148
505365061,21250
505467461,21352
505569861,21468
505672261,21557
505774661,21668
505877061,21762
505979461,21868
506081861,21966
506184261,22069
506286661,22188
506389061,22274
506491461,22388
506593861,22479
506696261,22588
506798661,22683
506901061,22788
507003461,22888
507105861,22991
507208673,23108
507310661,23196
507413061,23308
507515461,23400
507617861,23508
507720261,23605
507822661,23708
507925061,23810
508027461,23912
508129861,24028
508232261,24117
508334661,24228
508437061,24322
508539461,24428
508641861,24527
508744261,24629
508846661,24748
508949061,24834
509051461,24948
509153861,25039
