beacon_timestamp,local_timestamp
290831056,11255
290933456,11357
291035856,11475
291138256,11562
291240656,11675
291343056,11767
291445456,11875
291547856,11972
291650256,12075
291752656,12176
291855056,12279
291957456,12395
292059856,12484
292162256,12595
292264656,12688
292367056,12795
292469456,12893
292571856,12996
292674256,13098
292776656,13200
292806367,13235
292809567,13240
292814038,13244
292879056,13303
292981456,13405
293083856,13508
293186256,13610
293288656,13725
293391056,13815
293493456,13925
293595856,14020
293698256,14125
293800656,14224
293903056,14327
294005456,14445
294107856,14532
294210256,14645
294312656,14737
294415056,14845
294517456,14941
294619856,15045
294722256,15146
294824656,15249
294927056,15365
295029456,15453
295131856,15565
295234256,15658
295336656,15765
295439056,15863
295541456,15965
295643856,16068
295746256,16170
295848656,16285
295951056,16375
296053456,16485
296155856,16580
296258256,16685
296360656,16785
296374542,16805
296378479,16810
296382415,16815
296385712,16820
296388949,16824
296463056,16887
296565456,16990
296667856,17105
296770256,17194
296872656,17305
296975056,17399
297077853,17505
297074694,17548
297179856,17604
297282256,17706
297384656,17825
297487056,17911
297589456,18025
297691856,18116
297794256,18225
297896656,18321
297999056,18425
298101456,18526
298203856,18628
298306256,18745
298408656,18833
298511056,18945
298613456,19038
298715856,19145
298818256,19242
298920656,19345
299023056,19448
299125456,19550
320425655,40852
320528055,40956
320630455,41056
320732855,41159
320835255,41276
320937655,41363
321040055,41476
321142455,41569
321244855,41676
321347255,41773
321449655,41876
321552055,41978
321654455,42081
321756855,42196
321859255,42285
321961655,42396
322064055,42491
322166455,42596
322268855,42695
322371255,42797
322473655,42916
322576055,43002
322678455,43116
322780855,43207
322883255,43316
322985655,43412
323088055,43516
323190455,43617
323292855,43719
323395255,43836
323497655,43924
323600055,44036
323702455,44129
323804855,44236
323907255,44333
324009655,44436
324112055,44538
324214455,44641
324316855,44756
324419255,44845
324521655,44956
324624055,45050
324726455,45156
324828855,45255
324931255,45358
325033655,45476
325136055,45562
325238455,45677
325340855,45767
325443255,45876
325545655,45972
325648055,46076
325750455,46177
325852855,46279
325955255,46397
326057655,46484
326160055,46597
326262455,46689
326364855,46797
326467255,46894
326569774,46997
326672055,47099
326774455,47201
326876855,47317
326893642,47321
326896878,47326
326900088,47331
326907229,47335
326917729,47345
326979797,47417
327081655,47508
327184055,47617
327286455,47713
327388855,47817
327491255,47918
327593655,48020
327696055,48137
327798455,48225
327900855,48337
328003255,48430
328105655,48537
328208055,48635
328310455,48737
328412855,48840
328515255,48942
328617655,49057
328720055,49147
328822455,49257
328924855,49352
329027344,49457
329129655,49556
350532299,70968
350634657,71063
350737057,71168
350839457,71268
350941857,71370
351044257,71488
351146657,71575
351249057,71688
351351457,71780
351453857,71888
351556257,71985
351658657,72088
351761057,72190
351863457,72292
351965857,72408
352068257,72497
352170657,72608
352273057,72701
352375457,72808
352477857,72906
352580257,73009
352682657,73128
352785057,73214
352887457,73328
352989857,73419
353092257,73528
353194657,73623
353297057,73728
353399457,73828
353501857,73930
353604257,74048
353706657,74135
353809057,74248
353911457,74340
354013857,74448
354116257,74545
354218657,74648
354321057,74750
354423457,74852
354525857,74968
354628257,75057
354730657,75168
354833057,75262
354935457,75368
355037857,75467
355140257,75569
355242657,75688
355345401,75774
355447457,75888
355549857,75979
355652257,76088
355754657,76183
355857057,76288
355959457,76388
356061857,76491
356164257,76608
356266657,76695
356369057,76808
356471457,76900
356573857,77008
356676257,77105
356778657,77208
356881057,77310
356983457,77412
357085857,77528
357188257,77617
357290657,77728
357393057,77822
357495457,77928
357505494,77935
357516274,77946
357597857,78027
357700257,78138
357802657,78232
357905057,78338
358006146,78436
358009320,78440
358013107,78445
358016659,78450
358020213,78454
358109857,78539
358212257,78642
358314657,78758
358417057,78846
358519457,78958
358621857,79051
358724257,79158
358826657,79256
358929057,79358
359031457,79461
359133857,79563
