beacon_timestamp,local_timestamp,load_cell_reading
282214738,1045,3.508772
282317130,1162,3.508772
282419538,1254,0.877193
282521933,1366,2.631579
282624340,1464,0.877193
282726731,1571,2.631579
282771579,1617,1.754386
282830897,1675,17.543859
282931531,1774,4.385965
283033938,1879,6.140351
283136331,1981,4.385965
283238739,2074,0.000000
283341131,2186,0.877193
283443539,2284,0.877193
283527113,2364,0.877193
283531813,2388,1.754386
283536314,2395,3.508772
283648339,2493,2.631579
283667139,2511,6.140351
283669697,2538,1.754386
283672272,2545,2.631579
283674843,2552,9.649123
283750731,2581,0.877193
283853138,2698,2.631579
283955531,2800,2.631579
284057939,2894,2.631579
284160331,3005,4.385965
284262740,3107,5.263158
284365133,3204,2.631579
284467538,3312,2.631579
284569931,3414,4.385965
284672339,3504,0.000000
284774731,3620,4.385965
284877139,3714,5.263158
284979531,3824,3.508772
285081938,3927,1.754386
285184330,4024,3.508772
285286739,4132,3.508772
285389130,4234,6.140351
285491539,4336,3.508772
285593931,4439,0.000000
285696340,4541,2.631579
285798730,4644,2.631579
285901198,4744,4.385965
285965371,4811,24.561403
285967928,4818,0.877193
285970479,4826,7.894737
285973068,4833,3.508772
285975628,4840,2.631579
286003531,4849,1.754386
286105938,4951,2.631579
286208331,5053,3.508772
286318124,5163,3.508772
286413131,5258,2.631579
286515539,5360,3.508772
286617931,5457,1.754386
286720338,5565,6.140351
286822730,5664,3.508772
286925138,5770,1.754386
287027530,5873,3.508772
287129938,5964,0.877193
287232330,6078,2.631579
287334739,6174,4.385965
287437132,6282,2.631579
287539538,6384,3.508772
287641931,6487,2.631579
287744339,6589,2.631579
287846731,6684,3.508772
287949138,6794,1.754386
288051530,6894,0.877193
288153939,6999,2.631579
288256331,7101,2.631579
288358739,7194,4.385965
288461131,7306,0.877193
288563541,7408,1.754386
288665931,7504,3.508772
288768338,7613,3.508772
288870731,7714,0.877193
288973139,7804,3.508772
289075532,7921,3.508772
289177939,8017,2.631579
289280332,8125,5.263158
289382740,8228,1.754386
289485130,8324,2.631579
289587538,8433,0.877193
289689931,8534,3.508772
289792338,8637,2.631579
289894759,8740,3.508772
289997141,8834,3.508772
290099531,8945,2.631579
290201940,9047,1.754386
290304330,9144,2.631579
290406738,9252,1.754386
290509130,9354,4.385965
290611539,9457,1.754386
290713931,9559,0.877193
290816338,9654,4.385965
290918731,9764,2.631579
291021138,9864,2.631579
291081869,9928,2.631579
291085876,9935,0.877193
291088438,9943,3.508772
291093454,9950,0.000000
291124068,9969,5.263158
291147233,9993,4.385965
291150953,10001,1.754386
291153514,10008,1.754386
291159272,10015,0.877193
291226213,10071,1.754386
291328331,10174,2.631579
291430738,10274,0.000000
291533132,10378,3.508772
291635539,10481,1.754386
291737930,10574,0.877193
291840338,10686,1.754386
291942731,10788,0.877193
292045141,10884,2.631579
292147531,10993,3.508772
292249939,11095,3.508772
292352338,11194,2.631579
292454739,11284,2.631579
292557131,11403,4.385965
292659539,11504,5.263158
292761931,11594,3.508772
292864340,11710,1.754386
292966731,11813,0.877193
293069139,11904,2.631579
293171530,12017,1.754386
293179264,12025,0.877193
293182143,12033,5.263158
293273939,12119,2.631579
293376330,12222,0.000000
293478740,12324,0.000000
293581131,12430,3.508772
293683538,12524,0.877193
293785931,12631,0.877193
293888339,12734,0.877193
293990731,12834,2.631579
294093139,12924,3.508772
294195533,13041,1.754386
294297938,13143,0.877193
294400331,13234,0.877193
294502738,13349,0.877193
294605133,13451,6.140351
294809930,13656,2.631579
294912338,13754,3.508772
295014730,13844,3.508772
295117138,13963,2.631579
295219530,14064,3.508772
295321938,14154,1.754386
295424330,14270,2.631579
295526739,14373,4.385965
295629131,14464,1.754386
295731539,14577,2.631579
295833932,14680,3.508772
295936339,14774,0.877193
296038733,14884,2.631579
296141138,14987,5.263158
296243533,15084,5.263158
296345939,15192,5.263158
296448459,15294,1.754386
296550739,15394,4.385965
296653130,15484,2.631579
296755538,15601,3.508772
296857931,15704,5.263158
296960339,15795,5.263158
297062730,15909,4.385965
297165138,16011,0.877193
297267531,16105,1.754386
297369941,16216,3.508772
297472332,16318,2.631579
297574739,16415,1.754386
297779538,16625,3.508772
297881931,16715,2.631579
297984340,16830,0.877193
298086730,16933,3.508772
298189138,17025,2.631579
298291531,17137,2.631579
298393941,17240,1.754386
298496330,17335,3.508772
298598739,17444,2.631579
298618306,17465,2.631579
298624519,17472,1.754386
298701131,17547,3.508772
298803538,17649,4.385965
298905930,17745,0.877193
299008339,17855,1.754386
299110731,17957,1.754386
299213139,18055,1.754386
299315533,18162,5.263158
299417939,18264,3.508772
299520331,18365,2.631579
