beacon_timestamp,local_timestamp,load_cell_reading
672358741,1044,2.631579
672461132,1158,0.877193
672563539,1261,5.263158
672665932,1352,2.631579
672768339,1465,3.508772
672870730,1568,1.754386
672973141,1663,1.754386
673075530,1772,5.263158
673177941,1875,15.789474
673280330,1973,0.877193
673382739,2080,3.508772
673485131,2182,2.631579
673587539,2282,1.754386
673689931,2372,0.877193
673792338,2489,0.877193
673894730,2592,0.000000
673997139,2683,4.385965
674099530,2797,18.421053
674201940,2899,2.631579
674304332,2993,2.631579
674406740,3105,0.877193
674509130,3206,1.754386
674611539,3302,0.877193
674713930,3411,6.140351
674816338,3514,2.631579
674918731,3613,2.631579
675021214,3705,0.877193
675123531,3821,3.508772
675225939,3923,1.754386
675328331,4012,1.754386
675430739,4128,0.000000
675533133,4230,0.877193
675635539,4323,2.631579
675737930,4435,1.754386
675840340,4537,4.385965
675942731,4633,2.631579
676045138,4742,1.754386
676147530,4845,3.508772
676249938,4943,0.877193
676352331,5050,1.754386
676454740,5152,2.631579
676557130,5253,3.508772
676581571,5279,3.508772
676599931,5297,3.508772
676602509,5305,2.631579
676659539,5357,2.631579
676761930,5453,2.631579
676864339,5562,1.754386
676966730,5664,0.000000
677069139,5763,3.508772
677171530,5853,2.631579
677273939,5971,0.877193
677376332,6073,0.000000
677478740,6163,2.631579
677581130,6278,4.385965
677683539,6381,0.877193
677758866,6457,1.754386
677761709,6464,1.754386
677785930,6483,3.508772
677888339,6573,1.754386
677990730,6688,5.263158
678093139,6790,5.263158
678195532,6883,2.631579
678297938,6996,2.631579
678400331,7098,3.508772
678502739,7193,1.754386
678605132,7303,2.631579
678707538,7405,0.877193
678809933,7503,1.754386
678912338,7610,5.263158
679014731,7712,1.754386
679117139,7813,0.877193
679219530,7903,3.508772
679321939,8020,3.508772
679424331,8122,2.631579
679526738,8215,1.754386
679629131,8327,2.631579
679731539,8429,2.631579
679833931,8523,1.754386
679936338,8634,4.385965
680038730,8736,1.754386
680141138,8833,0.877193
680243531,8941,4.385965
680345939,9043,1.754386
680448455,9143,0.877193
680550743,9233,1.754386
680653130,9351,4.385965
680755538,9453,0.877193
680857931,9543,2.631579
680960338,9658,1.754386
681062730,9761,2.631579
681165141,9853,4.385965
681267531,9965,0.000000
681369939,10068,1.754386
681472331,10163,1.754386
681576136,10274,2.631579
681677131,10375,1.754386
681779539,10473,0.877193
681881930,10580,3.508772
681984339,10682,2.631579
672358741,1044,2.631579
672461132,1158,0.877193
672563539,1261,5.263158
672665932,1352,2.631579
672768339,1465,3.508772
672870730,1568,1.754386
672973141,1663,1.754386
673075530,1772,5.263158
673177941,1875,15.789474
673280330,1973,0.877193
673382739,2080,3.508772
673485131,2182,2.631579
673587539,2282,1.754386
673689931,2372,0.877193
673792338,2489,0.877193
673894730,2592,0.000000
673997139,2683,4.385965
674099530,2797,18.421053
674201940,2899,2.631579
674304332,2993,2.631579
674406740,3105,0.877193
674509130,3206,1.754386
674611539,3302,0.877193
674713930,3411,6.140351
674816338,3514,2.631579
674918731,3613,2.631579
675021214,3705,0.877193
675123531,3821,3.508772
675225939,3923,1.754386
675328331,4012,1.754386
675430739,4128,0.000000
675533133,4230,0.877193
675635539,4323,2.631579
675737930,4435,1.754386
675840340,4537,4.385965
675942731,4633,2.631579
676045138,4742,1.754386
676147530,4845,3.508772
676249938,4943,0.877193
676352331,5050,1.754386
676454740,5152,2.631579
676557130,5253,3.508772
676581571,5279,3.508772
676599931,5297,3.508772
676602509,5305,2.631579
676659539,5357,2.631579
676761930,5453,2.631579
676864339,5562,1.754386
676966730,5664,0.000000
677069139,5763,3.508772
677171530,5853,2.631579
677273939,5971,0.877193
677376332,6073,0.000000
677478740,6163,2.631579
