beacon_timestamp,local_timestamp
2215321985,1082
2215424389,1193
2215526792,1287
2215629187,1393
2215731603,1491
2215833984,1594
2215936386,1696
2216038790,1799
2216141190,1914
2216243591,2004
2216345989,2114
2216448388,2208
2216550785,2314
2216653192,2413
2216755584,2516
2216857988,2634
2216960390,2720
2217062786,2834
2217165189,2925
2217267592,3034
2217369991,3130
2217472388,3234
2217574787,3335
2217677192,3437
2217881984,3642
2217984390,3754
2218086808,3847
2218189191,3954
2218291587,4052
2218393984,4154
2218496392,4256
2218599002,4359
2218701189,4474
2218803588,4564
2218905986,4674
2219008389,4768
2215321985,1082
2215424389,1193
2215526792,1287
2215629187,1393
2215731603,1491
2215833984,1594
2215936386,1696
2216038790,1799
2216141190,1914
2216243591,2004
2216345989,2114
2216448388,2208
2216550785,2314
2216653192,2413
2216755584,2516
2216857988,2634
2216960390,2720
2217062786,2834
2217165189,2925
2217267592,3034
2217369991,3130
2217472388,3234
2217574787,3335
2217677192,3437
2217881984,3642
2217984390,3754
2218086808,3847
2218189191,3954
2218291587,4052
2218393984,4154
2218496392,4256
2218599002,4359
2218701189,4474
2218803588,4564
2218905986,4674
2219008389,4768
2219110791,4874
2219213188,4973
2219315592,5076
2219417990,5194
2219520387,5280
2219622792,5394
2219725188,5485
2219827584,5594
2219929989,5690
2220032387,5794
2226790792,12551
2226893188,12664
2226995586,12756
2227098047,12864
2227200389,12961
2227302792,13064
2227405193,13166
2227507584,13268
2227609989,13384
2227712406,13473
2227814789,13584
2227917192,13678
2228019589,13784
2228121990,13883
2228224390,13985
2228326788,14104
2228429184,14190
2228531588,14304
2228633985,14395
2228736387,14504
2228838784,14600
2228941184,14704
2229043590,14804
2229111947,14873
2229114521,14876
2229117170,14878
2229188763,14950
2229191346,14953
2229193949,14955
2229196877,14958
2229200090,14961
2229203354,14964
2229248389,15024
2218599002,4359
2218701189,4474
2218803588,4564
2218905986,4674
2219008389,4768
2219110791,4874
2219213188,4973
2219315592,5076
2219417990,5194
2219520387,5280
2219622792,5394
2219725188,5485
2219827584,5594
2219929989,5690
2220032387,5794
2226790792,12551
2226893188,12664
2226995586,12756
2227098047,12864
2227200389,12961
2227302792,13064
2227405193,13166
2227507584,13268
2227609989,13384
2227712406,13473
2227814789,13584
2227917192,13678
2228019589,13784
2228121990,13883
2228224390,13985
2228326788,14104
2228429184,14190
2228531588,14304
2228633985,14395
2228736387,14504
2228838784,14600
2228941184,14704
2229043590,14804
2229111947,14873
2229114521,14876
2229117170,14878
2229188763,14950
2229191346,14953
2229193949,14955
2229196877,14958
2229200090,14961
2229203354,14964
2229248389,15024
2229255473,15025
2229258029,15025
2229260675,15026
2229350790,15112
2229453191,15224
2229555592,15316
2229657985,15424
2229740556,15504
2229743147,15505
2229746697,15508
2229749280,15510
2229751863,15514
2229760386,15521
2229862788,15624
2229965187,15726
2230067588,15828
2236825986,22594
2236860289,22634
2236863069,22635
2236865678,22636
2236868342,22636
2236870916,22637
2236873957,22638
2236928392,22690
2236958453,22720
2237030787,22794
2237133188,22895
2237235585,22997
2237337988,23114
2237440392,23202
2237542785,23314
2237645187,23407
2237747591,23514
2237849991,23612
2237952385,23714
2238054787,23816
2238157189,23919
2238259586,24034
2238361992,24
2229255473,15025
2229258029,15025
2229260675,15026
2229350790,15112
2229453191,15224
2229555592,15316
2229657985,15424
2229740556,15504
2229743147,15505
2229746697,15508
2229749280,15510
2229751863,15514
2229760386,15521
2229862788,15624
2229965187,15726
2230067588,15828
2236825986,22594
2236860289,22634
2236863069,22635
2236865678,22636
2236868342,22636
2236870916,22637
2236873957,22638
2236928392,22690
2236958453,22720
2237030787,22794
2237133188,22895
2237235585,22997
2237337988,23114
2237440392,23202
2237542785,23314
2237645187,23407
2237747591,23514
2237849991,23612
2237952385,23714
2238054787,23816
2238157189,23919
2238259586,24034
2238361992,24123
2238464385,24234
2238566789,24328
2238669186,24434
2238771603,24533
2238873991,24635
2239078785,24841
2239181184,24954
2239283584,25045
2239385987,25154
2239488388,25250
2239590790,25354
2239693186,25455
2239795592,25557
2239897989,25674
2240000388,25762
2246861191,32634
2246963603,32725
2247065985,32834
2247168385,32931
2247270786,33034
2247373190,33135
2247475592,33237
2247577992,33354
2247680391,33443
