Sample,ADC_0,ADC_1,ADC_2,Timestamp,Acceleration
117,583.3333,520.0000,615.7894,572.0024,994.9243
118,579.8245,520.8695,612.2807,576.9268,991.1555
119,581.5789,515.6521,611.4035,581.8773,988.9112
120,581.5789,521.7391,614.9122,586.8300,994.2650
121,581.5789,516.5217,613.1578,591.7842,990.4500
122,581.5789,514.7825,615.7894,596.7207,991.1770
123,581.5789,513.9130,614.9122,601.6591,990.1806
124,578.9473,518.2608,614.0350,606.6004,990.3602
125,577.1929,517.3912,615.7894,611.5346,989.9708
126,577.1929,512.1738,616.6666,616.4732,987.8013
127,573.6842,512.1738,614.9122,621.4074,984.6586
128,575.4385,517.3912,617.5438,626.3460,990.0422
129,583.3333,515.6521,614.0350,631.2774,991.5714
130,576.3157,516.5217,617.5438,636.2230,990.0985
131,578.0701,513.0434,615.7894,641.1664,988.2183
132,578.0701,518.2608,614.0350,646.1055,989.8477
133,577.1929,520.0000,614.9122,651.0418,990.7920
134,580.7017,518.2608,614.0350,655.9674,991.3869
135,582.4561,513.9130,618.4210,660.9124,992.8778
136,585.9649,514.7825,618.4210,665.8667,995.3897
137,581.5789,513.0434,614.9122,670.8188,989.7296
138,583.3333,512.1738,620.1754,675.7568,993.5881
139,583.3333,512.1738,618.4210,680.6923,992.4940
140,586.8421,508.6956,618.4210,685.6293,992.7736
141,587.7192,513.9130,615.7894,690.5725,994.3426
142,590.3508,510.4347,620.1754,695.5153,996.8327
143,588.5964,511.3043,617.5438,700.4550,994.6046
144,583.3333,516.5217,617.5438,705.3959,994.1996
145,583.3333,513.0434,614.9122,710.3402,990.7615
146,583.3333,516.5217,614.9122,715.2744,992.5671
147,586.8421,513.9130,613.1578,720.2244,992.1959
148,583.3333,518.2608,606.1403,725.1727,988.0679
149,578.9473,513.9130,612.2807,730.1130,987.0026
150,581.5789,511.3043,608.7719,735.0563,985.0225
151,582.4561,508.6956,613.1578,739.9981,986.9088
152,578.0701,511.3043,614.0350,744.9497,986.2232
153,582.4561,510.4347,612.2807,749.8914,987.2620
154,580.7017,506.9565,615.7894,754.8419,986.6185
155,582.4561,506.9565,610.5263,759.7979,984.3792
156,578.0701,507.8260,606.1403,764.7402,979.5195
157,580.7017,505.2173,604.3859,769.6755,978.6427
158,578.0701,501.7391,606.1403,774.6167,976.3777
159,576.3157,500.0000,610.5263,779.5509,977.1807
160,571.0526,498.2608,611.4035,784.4694,973.7449
161,571.0526,496.5217,613.1578,789.4030,973.9597
162,564.9122,493.0434,614.9122,794.3404,969.7086
163,569.2982,484.3478,613.1578,799.2781,966.7760
164,567.5438,485.2173,616.6666,804.2257,968.4109
165,567.5438,483.4782,619.2982,809.1773,969.2200
166,571.9298,479.1304,621.9298,814.1269,971.3219
167,571.0526,479.1304,622.8070,819.0756,971.3679
168,565.7894,477.3912,617.5438,824.0168,964.0438
169,571.9298,479.1304,616.6666,828.9591,967.9604
170,567.5438,479.1304,613.1578,833.9123,963.1379
171,567.5438,480.0000,626.3157,838.8590,971.9967
172,567.5438,478.2608,620.1754,843.7921,967.1903
173,578.9473,479.1304,625.4385,848.7290,977.7113
174,573.6842,479.1304,626.3157,853.6708,975.1671
175,574.5614,481.7391,623.6842,858.6077,975.2822
176,574.5614,482.6087,620.1754,863.5490,973.4729
177,574.5614,488.6956,621.9298,868.4886,977.6200
178,573.6842,494.7826,614.0350,873.4304,975.1730
179,575.4385,499.1304,611.4035,878.3652,976.7676
180,582.4561,508.6956,610.5263,883.3146,985.2760
181,585.9649,518.2608,606.1403,888.2531,989.6238
182,590.3508,515.6521,602.6315,893.2005,988.7244
183,589.4736,526.9565,593.8596,898.1514,988.8536
184,594.7368,522.6087,598.2456,903.1056,992.3353
185,594.7368,525.2174,599.1228,908.0552,994.2400
186,597.3684,525.2174,595.6140,912.9990,993.7094
187,598.2456,522.6087,600.0000,917.9538,995.4987
188,602.6315,519.1304,602.6315,922.8870,997.9108
189,608.7719,513.9130,601.7543,927.8380,998.4078
190,604.3859,513.9130,601.7543,932.7927,995.7396
191,609.6491,506.9565,602.6315,937.7359,995.9125
192,605.2631,506.0869,600.8771,942.6820,991.7262
193,601.7543,500.0000,607.8947,947.6209,990.7796
194,601.7543,496.5217,609.6491,952.5459,990.1081
195,595.6140,493.0434,603.5087,957.4850,980.8520
196,595.6140,492.1739,599.1228,962.4214,977.7214
197,592.1052,492.1739,606.1403,967.3588,979.9132
198,579.8245,492.1739,608.7719,972.2931,974.1842
199,594.7368,488.6956,609.6491,977.2420,981.9406
